-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			12	138		145	5.07246	96	44.1135	0.003372		145	5.07246	241	135.355	0.162367		147	6.52174	120	56.6392	0.040884
			13	128		135	5.46875	111	41.9643	0.003607		137	7.03125	274	133.537	0.12192		137	7.03125	137	55.9732	0.031889
			14	118		127	7.62712	134	52.4976	0.014247		126	6.77966	264	127.664	0.104605		128	8.47458	148	59.3801	0.007408
			15	110		118	7.27273	126	64.5136	0.040302		120	9.09091	276	128.172	0.100827		121	10	171	56.5597	0.004076
			16	105		113	7.61905	164	60.597	0.027902		115	9.52381	311	117.427	0.09138		114	8.57143	180	57.5847	0.00431
			17	98		102	4.08163	90	28.2135	0.002452		105	7.14286	276	98.6205	0.083289		107	9.18367	175	54.4702	0.027308
			18	93		103	10.7527	210	69.7711	0.005019		101	8.60215	305	99.4133	0.074524		102	9.67742	192	67.6314	0.004587
			19	89		95	6.74157	161	54.9636	0.003581		96	7.86517	366	117.149	0.138099		98	10.1124	218	66.6183	0.003159
			20	85		90	5.88235	156	57.1839	0.004555		91	7.05882	297	95.7445	0.103736		94	10.5882	236	68.1762	0.002665
			21	80		89	11.25	225	64.5058	0.004447		89	11.25	314	100.379	0.091156		90	12.5	336	94.9105	0.002675
			22	76		88	15.7895	292	96.4261	0.005618		89	17.1053	403	114.869	0.100719		89	17.1053	314	92.6175	0.003075
			23	74		80	8.10811	196	54.5344	0.003072		81	9.45946	330	93.1021	0.096587		84	13.5135	288	94.3822	0.005177

MUKHERJE.IN2   	94	3	1403		1408	0.356379	16	9.69536	0.003416		1413	0.712758	1444	1360.24	2.00186		1414	0.784034	34	26.6458	1.00841
			4	1052		1053	0.095057	4	2.44949	0.001347		1069	1.61597	1137	1018.34	1.51009		1072	1.90114	80	74.135	0.350751
			5	844		847	0.35545	27	16.0312	0.003366		859	1.77725	946	809.501	1.2084		861	2.01422	97	72.8217	0.30576
			6	704		707	0.426136	34	17.8885	0.003481		719	2.13068	825	627.019	0.965637		722	2.55682	124	70.8096	0.258132
			7	621		629	1.28824	195	147.801	0.067232		630	1.44928	832	591.358	0.894388		633	1.93237	223	154.638	0.210281
			8	532		536	0.75188	80	54.6809	0.0319		539	1.31579	697	444.975	0.754551		541	1.69173	661	454.558	0.21932
			9	471		476	1.06157	76	40.9878	0.005706		485	2.9724	696	411.716	0.711329		484	2.76008	148	88.2496	0.16924
			10	424		428	0.943396	72	29.9666	0.031134		433	2.12264	683	356.251	0.649377		441	4.00943	202	108.711	0.14206
			11	391		397	1.53453	159	105.863	0.008592		400	2.30179	592	321.82	0.57691		402	2.8133	214	117.286	0.058025
			12	358		364	1.67598	160	74.8599	0.023099		365	1.95531	562	332.352	0.546216		375	4.7486	292	153.747	0.124013
			13	325		332	2.15385	108	62.2254	0.0375		335	3.07692	536	256.92	0.501878		343	5.53846	251	111.135	0.086438
			14	311		319	2.57235	258	155.66	0.037694		322	3.53698	622	273.397	0.455939		325	4.50161	342	167.278	0.020663
			15	288		300	4.16667	292	131.666	0.043929		301	4.51389	662	275.536	0.465372		305	5.90278	367	176.394	0.068932
			16	268		274	2.23881	176	63.3246	0.03858		280	4.47761	655	275.763	0.436703		288	7.46269	400	169.47	0.039052
			17	251		262	4.38247	246	94.2656	0.024205		265	5.57769	562	229.53	0.413493		266	5.9761	314	139.478	0.022375
			18	239		248	3.76569	256	97.0773	0.036041		248	3.76569	504	220.821	0.394569		251	5.02092	310	153.388	0.030127
			19	226		237	4.86726	295	107.727	0.012794		246	8.84956	712	252.056	0.344627		244	7.9646	672	244.184	0.016544
			20	220		234	6.36364	472	206.732	0.015954		231	5	643	209.492	0.345625		236	7.27273	748	271.068	0.045044
			21	208		215	3.36538	307	131.313	0.019256		223	7.21154	698	240.774	0.316906		224	7.69231	496	175.094	0.019321
			22	200		208	4	368	136.799	0.01171		208	4	630	225.477	0.337899		214	7	500	165.366	0.024628
			23	189		199	5.29101	369	123.835	0.030077		198	4.7619	544	165.807	0.313533		200	5.82011	392	131.24	0.022317
			24	179		186	3.91061	256	71.0634	0.020514		190	6.14525	542	189.61	0.292731		191	6.70391	567	179.156	0.082623
			25	172		180	4.65116	292	90.3659	0.006818		185	7.55814	627	191.549	0.27243		185	7.55814	417	142.292	0.005069
			26	171		178	4.09357	420	143.52	0.005418		179	4.67836	625	206.666	0.320107		179	4.67836	446	159.919	0.020923

ARC111.IN2   	111	3	50133		50151	0.0359045	54	39.1152	0.030761		51737	3.19949	56549	nan	80.4641		51735	3.1955	4806	4514.93	40.4635
			4	37600		37616	0.0425532	65	53.6936	0.032144		38135	1.42287	40529	37844.7	66.7218		38365	2.03457	3061	2420.13	18.4203
			5	30080		30209	0.428856	646	387.043	0.299067		31109	3.42088	38016	29048.6	59.1184		31302	4.0625	6111	4207.96	11.8036
