-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			5	300		302	0.666667	11	7.68115	0.00143		302	0.666667	317	292.529	0.120221		302	0.666667	11	7.68115	0.034282
			6	250		251	0.4	7	6.08276	0.000948		253	1.2	272	243.409	0.12465		253	1.2	19	12.1244	0.021755
			7	215		217	0.930233	20	16.3095	0.001602		217	0.930233	237	211.393	0.095464		217	0.930233	20	16.3095	0.023138
			8	188		191	1.59574	29	16.9411	0.001732		191	1.59574	220	181.764	0.072317		191	1.59574	29	16.9411	0.021823
			9	167		172	2.99401	49	38.5097	0.002221		172	2.99401	221	164.058	0.074283		172	2.99401	49	38.5097	0.014429
			10	150		155	3.33333	51	25.5539	0.00549		155	3.33333	206	152.493	0.065735		155	3.33333	51	25.5539	0.011548
			11	137		139	1.45985	30	11.9164	0.005198		139	1.45985	169	120.42	0.061428		139	1.45985	30	11.9164	0.011592
			12	125		132	5.6	85	34.2199	0.00344		132	5.6	217	130.572	0.056856		132	5.6	85	34.2199	0.014082
			13	116		119	2.58621	48	26.4197	0.001716		119	2.58621	167	100.334	0.050368		119	2.58621	48	26.4197	0.011371
			14	108		110	1.85185	41	14.2478	0.001409		110	1.85185	195	95.6818	0.048686		110	1.85185	41	14.2478	0.00489
			15	100		104	4	61	23.3452	0.002173		106	6	197	101.247	0.046262		106	6	91	36.0694	0.003354
			16	94		97	3.19149	53	18.4662	0.002606		97	3.19149	171	80.9382	0.051728		97	3.19149	53	18.4662	0.010726
			17	89		92	3.37079	65	25.671	0.001979		92	3.37079	157	77.026	0.04317		92	3.37079	65	25.671	0.004068
			18	84		89	5.95238	103	34.7419	0.005224		89	5.95238	209	81.6149	0.040568		89	5.95238	103	34.7419	0.005035
			19	84		86	2.38095	135	40.6817	0.003679		86	2.38095	221	79.4166	0.041911		86	2.38095	135	40.6817	0.009756
			20	77		80	3.8961	101	30.8058	0.003131		85	10.3896	286	92.5095	0.032953		80	3.8961	101	30.8058	0.01815
			21	72		75	4.16667	76	24	0.002072		75	4.16667	151	69.7352	0.030138		75	4.16667	76	24	0.006318
			22	69		71	2.89855	63	19.7737	0.001626		71	2.89855	165	62.8252	0.037006		71	2.89855	63	19.7737	0.004743
			23	66		70	6.06061	111	40.3113	0.007198		70	6.06061	193	72.2703	0.026704		70	6.06061	111	40.3113	0.002767
			24	66		69	4.54545	157	59.9083	0.00325		69	4.54545	226	69.6563	0.032372		69	4.54545	157	59.9083	0.00277
			25	66		66	0	151	46.2925	0.00319		66	0	260	70.4557	0.022286		66	0	151	46.2925	0.015344
			26	65		65	0	191	51.1957	0.00851		65	0	321	76.2824	0.029225		65	0	191	51.1957	0.005484
			27	63		65	3.1746	191	51.1957	0.006026		65	3.1746	342	80.2247	0.024386		65	3.1746	191	51.1957	0.002607
			28	63		64	1.5873	293	66.7608	0.00535		64	1.5873	357	81	0.037523		64	1.5873	293	66.7608	0.00378
			29	63		63	0	328	76.6551	0.021584		63	0	429	88.5946	0.016832		62	-1.5873	361	73.6546	0.002454
			30	56		60	7.14286	301	62.0403	0.007296		60	7.14286	361	82.4682	0.027515		60	7.14286	301	62.0403	0.004499

ARC83.IN2   	83	3	25236		25277	0.162466	124	87.7268	0.024155		25277	0.162466	25401	21870.4	12.1151		25277	0.162466	124	87.7268	7.72015
			4	18927		19141	1.13066	857	551.461	0.13909		19141	1.13066	19998	15889.7	12.1563		19141	1.13066	857	551.461	3.10053
			5	15142		15326	1.21516	923	547.069	0.113586		15326	1.21516	16249	12120.8	10.8311		15326	1.21516	923	547.069	2.66957
			6	12620		12838	1.72742	1321	667.012	0.179132		12838	1.72742	14159	9729.79	8.38853		12838	1.72742	1321	667.012	2.22152
			7	10826		11066	2.21689	1755	850.237	0.164307		11066	2.21689	12821	7931.05	8.07305		11066	2.21689	1755	850.237	1.95581
			8	9554		9752	2.07243	2309	1589.07	0.230757		9752	2.07243	12061	6847.92	8.07877		9752	2.07243	2309	1589.07	1.83135
			9	8499		8542	0.505942	1171	564.634	0.110336		8542	0.505942	9713	5871	7.82754		8542	0.505942	1171	564.634	2.04911
			10	7580		7835	3.36412	2643	1108.8	0.2596		7835	3.36412	10478	5268.78	7.23744		7835	3.36412	2643	1108.8	1.70782
			11	7084		7125	0.578769	2668	1354.33	0.23993		7125	0.578769	9793	4907.16	6.74835		7125	0.578769	2668	1354.33	1.57642
			12	6412		6735	5.03743	5113	2770.68	0.558018		6735	5.03743	11848	4980.01	6.05115		6735	5.03743	5113	2770.68	1.38889
			13	5864		6165	5.13301	4438	1640.62	0.47678		6165	5.13301	10603	4289.27	5.93131		6165	5.13301	4438	1640.62	1.18565
			14	5441		5581	2.57306	2427	798.003	0.172837		5581	2.57306	8008	3380.47	5.30321		5581	2.57306	2427	798.003	1.27945
			15	5104		5441	6.60266	5908	2277.62	0.414395		5441	6.60266	11349	4676.92	4.68551		5441	6.60266	5908	2277.62	0.279042
			16	4850		5058	4.28866	5221	1809.22	0.341898		5058	4.28866	10279	4035.2	4.46833		5058	4.28866	5221	1809.22	0.929872
			17	4516		4674	3.49867	3751	1369.24	0.222132		4674	3.49867	8425	3504.89	4.27243		4674	3.49867	3751	1369.24	0.953245
			18	4317		4443	2.91869	4267	1311.07	0.289084		4443	2.91869	8710	3565.24	4.28431		4443	2.91869	4267	1311.07	0.320729
			19	4068		4323	6.26844	6430	1854.23	0.384955		4323	6.26844	10753	3700.77	3.91123		4323	6.26844	6430	1854.23	0.128348
			20	3882		4039	4.04431	5073	1405.21	0.32564		4039	4.04431	9112	3510.86	3.85914		4039	4.04431	5073	1405.21	0.807947
			21	3691		3921	6.23137	6634	1959.4	0.275974		3921	6.23137	10555	3264.81	3.55876		3921	6.23137	6634	1959.4	0.263684
			22	3691		3691	0	5495	1688.11	0.000467		3679	-0.325115	8910	3655.42	3.64157		3691	0	5495	1688.11	0.471729

LUTZ2.IN2   	89	9	54		55	1.85185	10	5.09902	0.001077		55	1.85185	65	47.697	0.09257		55	1.85185	10	5.09902	0.005049
			10	49		50	2.04082	15	9.32738	0.001082		50	2.04082	65	43.1161	0.054833		50	2.04082	15	9.32738	0.004663
			11	45		45	0	10	4.69042	0.000792		45	0	63	37.4833	0.072263		45	0	10	4.69042	0.004552
			12	41		42	2.43902	19	8.06226	0.001136		42	2.43902	61	35.2562	0.040801		42	2.43902	19	8.06226	0.026257
