-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			13	116		119	2.58621	48	26.4197	0.002713		119	2.58621	167	100.334	0.067204		119	2.58621	48	26.4197	0.016046
			14	108		110	1.85185	41	14.2478	0.002515		110	1.85185	195	95.6818	0.064713		110	1.85185	41	14.2478	0.009416
			15	100		104	4	61	23.3452	0.003827		106	6	197	101.247	0.05924		106	6	91	36.0694	0.008928
			16	94		97	3.19149	53	18.4662	0.003075		97	3.19149	171	80.9382	0.058338		97	3.19149	53	18.4662	0.006076
			17	89		92	3.37079	65	25.671	0.006379		92	3.37079	157	77.026	0.056285		92	3.37079	65	25.671	0.006775
			18	87		89	2.29885	103	34.7419	0.004077		89	2.29885	209	81.6149	0.05222		89	2.29885	103	34.7419	0.006501
			19	85		86	1.17647	135	40.6817	0.006554		86	1.17647	221	79.4166	0.04731		86	1.17647	135	40.6817	0.005892
			20	77		80	3.8961	101	30.8058	0.004127		85	10.3896	286	92.5095	0.043454		80	3.8961	101	30.8058	0.011379
			21	72		75	4.16667	76	24	0.00275		75	4.16667	151	69.7352	0.04567		75	4.16667	76	24	0.009142
			22	69		71	2.89855	63	19.7737	0.003717		71	2.89855	165	62.8252	0.04222		71	2.89855	63	19.7737	0.005202
			23	67		70	4.47761	111	40.3113	0.004471		70	4.47761	193	72.2703	0.044514		70	4.47761	111	40.3113	0.005896
			24	66		69	4.54545	157	59.9083	0.004984		69	4.54545	226	69.6563	0.036736		69	4.54545	157	59.9083	0.004985
			25	66		66	0	151	46.2925	0.004804		66	0	260	70.4557	0.039255		66	0	151	46.2925	0.005463
			26	65		65	0	191	51.1957	0.006459		65	0	321	76.2824	0.034185		65	0	191	51.1957	0.007108
			27	65		65	0	191	51.1957	0.007134		65	0	342	80.2247	0.033789		65	0	191	51.1957	0.005343
			28	64		64	0	293	66.7608	0.008363		64	0	357	81	0.02973		64	0	293	66.7608	0.006462
			29	63		63	0	328	76.6551	0.009074		63	0	429	88.5946	0.029445		62	-1.5873	361	73.6546	0.006164
			30	56		60	7.14286	301	62.0403	0.008039		60	7.14286	361	82.4682	0.029973		60	7.14286	301	62.0403	0.005311

ARC83.IN2   	83	3	25236		25277	0.162466	124	87.7268	0.020817		25277	0.162466	25401	21870.4	12.6144		25277	0.162466	124	87.7268	6.56962
			4	18927		19141	1.13066	857	551.461	0.123693		19141	1.13066	19998	15889.7	9.54434		19141	1.13066	857	551.461	2.37321
			5	15142		15326	1.21516	923	547.069	0.095136		15326	1.21516	16249	12120.8	7.61285		15326	1.21516	923	547.069	1.90596
			6	12620		12838	1.72742	1321	667.012	0.113256		12838	1.72742	14159	9729.79	6.36921		12838	1.72742	1321	667.012	1.61034
			7	10826		11066	2.21689	1755	850.237	0.155967		11066	2.21689	12821	7931.05	5.72167		11066	2.21689	1755	850.237	1.37058
			8	9554		9752	2.07243	2309	1589.07	0.154132		9752	2.07243	12061	6847.92	4.96065		9752	2.07243	2309	1589.07	1.16724
			9	8499		8542	0.505942	1171	564.634	0.083335		8542	0.505942	9713	5871	4.40716		8542	0.505942	1171	564.634	1.12364
			10	7580		7835	3.36412	2643	1108.8	0.151211		7835	3.36412	10478	5268.78	3.88209		7835	3.36412	2643	1108.8	0.93888
			11	7084		7125	0.578769	2668	1354.33	0.158475		7125	0.578769	9793	4907.16	3.64777		7125	0.578769	2668	1354.33	0.885064
			12	6412		6735	5.03743	5113	2770.68	0.2557		6735	5.03743	11848	4980.01	3.25775		6735	5.03743	5113	2770.68	0.679718
			13	5864		6165	5.13301	4438	1640.62	0.229825		6165	5.13301	10603	4289.27	3.11414		6165	5.13301	4438	1640.62	0.677642
			14	5441		5581	2.57306	2427	798.003	0.132169		5581	2.57306	8008	3380.47	2.98681		5581	2.57306	2427	798.003	0.736337
			15	5104		5441	6.60266	5908	2277.62	0.256325		5441	6.60266	11349	4676.92	2.68259		5441	6.60266	5908	2277.62	0.147766
			16	4850		5058	4.28866	5221	1809.22	0.202944		5058	4.28866	10279	4035.2	2.60105		5058	4.28866	5221	1809.22	0.59949
			17	4516		4674	3.49867	3751	1369.24	0.163688		4674	3.49867	8425	3504.89	2.55453		4674	3.49867	3751	1369.24	0.55007
			18	4317		4443	2.91869	4267	1311.07	0.153418		4443	2.91869	8710	3565.24	2.42277		4443	2.91869	4267	1311.07	0.193906
			19	4068		4323	6.26844	6430	1854.23	0.235774		4323	6.26844	10753	3700.77	2.11526		4323	6.26844	6430	1854.23	0.105115
			20	3882		4039	4.04431	5073	1405.21	0.165667		4039	4.04431	9112	3510.86	2.19328		4039	4.04431	5073	1405.21	0.534304
			21	3691		3921	6.23137	6634	1959.4	0.178716		3921	6.23137	10555	3264.81	2.01674		3921	6.23137	6634	1959.4	0.151056
			22	3691		3691	0	5495	1688.11	0.000714		3679	-0.325115	8910	3655.42	1.98757		3691	0	5495	1688.11	0.296929

LUTZ2.IN2   	89	9	54		55	1.85185	10	5.09902	0.002133		55	1.85185	65	47.697	0.031074		55	1.85185	10	5.09902	0.010945
			10	49		50	2.04082	15	9.32738	0.002564		50	2.04082	65	43.1161	0.029768		50	2.04082	15	9.32738	0.010048
