-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			28	63		65	3.1746	321	76.974	0.005028		65	3.1746	411	89.4036	0.056558		65	3.1746	321	76.974	0.002366
			29	63		64	1.5873	357	75.6637	0.021239		64	1.5873	446	91.4002	0.02771		62	-1.5873	361	71.9375	0.009382
			30	56		58	3.57143	241	51.2152	0.019474		58	3.57143	324	67.2904	0.016793		58	3.57143	241	51.2152	0.002657

ARC83.IN2   	83	3	25236		25369	0.527025	400	356.115	0.093353		25369	0.527025	25769	21887	14.9091		25369	0.527025	400	356.115	8.81039
			4	18927		19075	0.781952	593	391.23	0.129499		19075	0.781952	19668	15689.4	14.6442		19075	0.781952	593	391.23	3.98449
			5	15142		15549	2.68789	2038	1236.03	0.347824		15549	2.68789	17587	12427.5	12.6891		15549	2.68789	2038	1236.03	3.03403
			6	12620		12979	2.84469	2167	1012.46	0.351006		12979	2.84469	15146	9938.95	11.4361		12979	2.84469	2167	1012.46	2.66981
			7	10826		11088	2.4201	1909	1118.49	0.260752		11088	2.4201	12997	7954.37	8.86051		11088	2.4201	1909	1118.49	2.17668
			8	9554		9692	1.44442	1829	798.835	0.234099		9692	1.44442	11521	7090.39	7.8183		9692	1.44442	1829	798.835	1.96571
			9	8499		8797	3.50629	3466	1887.87	0.356904		8797	3.50629	12263	6397.6	7.01452		8797	3.50629	3466	1887.87	1.68507
			10	7580		7925	4.55145	3543	1492.66	0.323741		7925	4.55145	11468	5328.29	6.32437		7925	4.55145	3543	1492.66	1.48654
			11	7084		7167	1.17165	3130	1222.1	0.258874		7167	1.17165	10297	4471.98	5.96419		7167	1.17165	3130	1222.1	1.45055
			12	6412		6825	6.44105	6193	2661.57	0.678164		6825	6.44105	13018	5293.86	5.30923		6825	6.44105	6193	2661.57	0.982809
			13	5864		6233	6.29263	5322	1901.52	0.386556		6233	6.29263	11555	4351.15	4.99039		6233	6.29263	5322	1901.52	1.06555
			14	5441		5684	4.46609	3869	1331.59	0.281389		5684	4.46609	9553	3693.88	5.0068		5684	4.46609	3869	1331.59	1.0592
			15	5104		5400	5.79937	5293	1717.1	0.386156		5400	5.79937	10693	4360.76	4.44847		5400	5.79937	5293	1717.1	0.996855
			16	4850		4991	2.90722	4149	1220.45	0.277746		4991	2.90722	9140	4099.15	4.51619		4991	2.90722	4149	1220.45	0.989417
			17	4516		4840	7.17449	6573	2085.59	0.392748		4840	7.17449	11413	4223.33	4.15388		4840	7.17449	6573	2085.59	0.170639
			18	4317		4631	7.27357	7651	3368.07	0.504952		4631	7.27357	12282	4327.58	3.72391		4631	7.27357	7651	3368.07	0.432811
			19	4068		4488	10.3245	9565	2779.47	0.565185		4488	10.3245	14053	4283.31	3.61826		4488	10.3245	9565	2779.47	0.260525
			20	3882		4046	4.22463	5213	1443.54	0.235103		4046	4.22463	9259	3303.43	3.64812		4046	4.22463	5213	1443.54	0.785398
			21	3691		3921	6.23137	6634	1643.99	0.257775		3921	6.23137	10555	3049.87	3.25597		3921	6.23137	6634	1643.99	0.268926
			22	3691		3722	0.839881	6177	1647.2	0.017667		3722	0.839881	9899	3170.45	3.19401		3722	0.839881	6177	1647.2	0.396858

LUTZ2.IN2   	89	9	54		55	1.85185	10	10	0.001088		55	1.85185	74	48.2494	0.033963		55	1.85185	10	10	0.004844
			10	49		51	4.08163	25	14.3875	0.001395		51	4.08163	76	43.7721	0.043781		51	4.08163	25	14.3875	0.003994
