-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			29	63		64	1.5873	357	75.5844	0.006979		64	1.5873	421	87.2754	0.045457		62	-1.5873	361	77.9423	0.002932
			30	56		57	1.78571	211	45.111	0.004556		57	1.78571	268	58.0861	0.052191		57	1.78571	211	45.111	0.003975

ARC83.IN2   	83	3	25236		25345	0.431923	328	242.887	0.063334		25345	0.431923	25673	21967.7	17.3066		25345	0.431923	328	242.887	8.80061
			4	18927		19222	1.55862	1181	752.83	0.220507		19222	1.55862	20403	15981.3	13.1116		19222	1.55862	1181	752.83	3.37905
			5	15142		15281	0.917976	698	504.708	0.097479		15281	0.917976	15979	12087.9	12.7674		15281	0.917976	698	504.708	3.57537
			6	12620		12833	1.6878	1291	712.811	0.232525		12833	1.6878	14124	9719.22	11.8085		12833	1.6878	1291	712.811	3.01729
			7	10826		11249	3.90726	3036	1752.91	0.466724		11249	3.90726	14285	8366.46	10.2248		11249	3.90726	3036	1752.91	2.33095
			8	9554		9686	1.38162	1781	867.474	0.258871		9686	1.38162	11467	7087.04	9.61803		9686	1.38162	1781	867.474	2.13725
			9	8499		8731	2.72973	2872	1241.51	0.335205		8731	2.72973	11603	6226.25	7.67651		8731	2.72973	2872	1241.51	1.79471
			10	7580		7827	3.25858	2563	1058.99	0.222796		7827	3.25858	10390	5643.71	7.09782		7827	3.25858	2563	1058.99	1.58777
			11	7084		7167	1.17165	3130	1329.46	0.297787		7167	1.17165	10297	4521.4	6.61142		7167	1.17165	3130	1329.46	1.47797
			12	6412		6859	6.9713	6601	3547.22	0.559336		6859	6.9713	13460	5710.29	5.76482		6859	6.9713	6601	3547.22	1.10647
			13	5864		6281	7.11119	5946	2221.73	0.493899		6281	7.11119	12227	4884.64	5.49718		6281	7.11119	5946	2221.73	1.33868
			14	5441		5708	4.90719	4205	1402.87	0.333632		5708	4.90719	9913	3842.96	5.27151		5708	4.90719	4205	1402.87	1.13977
			15	5104		5355	4.91771	4618	1421.55	0.309592		5355	4.91771	9973	3189.75	5.01617		5355	4.91771	4618	1421.55	1.06364
			16	4850		4991	2.90722	4149	1637.42	0.286503		4991	2.90722	9140	4242.01	4.91046		4991	2.90722	4149	1637.42	1.02365
			17	4516		4765	5.51373	5298	1889.52	0.336615		4765	5.51373	10063	4137.75	4.32276		4765	5.51373	5298	1889.52	0.324387
			18	4317		4642	7.52838	7849	3365.77	0.542724		4642	7.52838	12491	4337.53	4.26155		4642	7.52838	7849	3365.77	0.463046
			19	4068		4438	9.09538	8615	3218.7	0.582273		4438	9.09538	13053	4515.68	4.03133		4438	9.09538	8615	3218.7	0.337948
			20	3882		4086	5.25502	6013	2019.76	0.336977		4086	5.25502	10099	3587.73	3.86104		4086	5.25502	6013	2019.76	0.794071
			21	3691		3921	6.23137	6634	1760.35	0.284176		3921	6.23137	10555	3198.93	3.87141		3921	6.23137	6634	1760.35	0.25994
			22	3691		3691	0	5495	1727.74	0.000363		3682	-0.243836	8979	3337.86	3.61895		3691	0	5495	1727.74	0.502191

LUTZ2.IN2   	89	9	54		56	3.7037	19	8.544	0.001685		56	3.7037	75	48.2183	0.036443		56	3.7037	19	8.544	0.004851
			10	49		51	4.08163	25	12.2066	0.002783		51	4.08163	76	44.0681	0.063772		51	4.08163	25	12.2066	0.004407
			11	45		47	4.44444	32	16.6733	0.003297		47	4.44444	79	40.4846	0.061111		47	4.44444	32	16.6733	0.005536
			12	41		42	2.43902	19	7.68115	0.001066		42	2.43902	61	34.5109	0.052918		42	2.43902	19	7.68115	0.015124
			13	38		39	2.63158	22	9.27362	0.021667		39	2.63158	61	31.6702	0.048871		39	2.63158	22	9.27362	0.00387
			14	35		38	8.57143	47	29.9166	0.002103		38	8.57143	85	33.5112	0.05616		38	8.57143	47	29.9166	0.022346
			15	33		35	6.06061	40	14.8324	0.012099		35	6.06061	75	29.95	0.02998		35	6.06061	40	14.8324	0.003402
			16	31		32	3.22581	27	10.3441	0.001197		32	3.22581	76	28.1425	0.047022		32	3.22581	27	10.3441	0.003115
			17	29		31	6.89655	42	12.8062	0.001793		31	6.89655	82	28.2489	0.044139		31	6.89655	42	12.8062	0.001945
			18	28		29	3.57143	37	11.5326	0.001646		29	3.57143	75	25.7099	0.033115		29	3.57143	37	11.5326	0.036491
			19	26		28	7.69231	47	15.843	0.023799		28	7.69231	84	26.4575	0.027154		28	7.69231	47	15.843	0.001876
			20	25		27	8	55	17.0587	0.001563		27	8	82	24.5764	0.03546		27	8	55	17.0587	0.002039
			21	24		25	4.16667	40	12.3288	0.001489		25	4.16667	97	27.1846	0.009111		25	4.16667	40	12.3288	0.002606
			22	23		25	8.69565	40	12.3288	0.001611		25	8.69565	99	26.1343	0.057565		25	8.69565	40	12.3288	0.001605
			23	22		24	9.09091	67	17.3494	0.002025		24	9.09091	91	24.1039	0.036602		24	9.09091	67	17.3494	0.002409
			24	21		23	9.52381	67	20.567	0.00169		23	9.52381	99	25.318	0.007836		23	9.52381	67	20.567	0.012554
			25	20		22	10	65	17.2337	0.001947		22	10	96	23.4094	0.007107		22	10	65	17.2337	0.046085
			26	19		21	10.5263	61	15.1327	0.022489		21	10.5263	91	21.7025	0.006995		21	10.5263	61	15.1327	0.002021
			27	19		20	5.26316	55	13.4536	0.023871		20	5.26316	92	22.1811	0.017221		20	5.26316	55	13.4536	0.002057
			28	18		20	11.1111	55	13.4536	0.001651		20	11.1111	95	22.0227	0.023418		19	5.55556	66	18	0.001626

LUTZ3.IN2   	89	3	548		554	1.09489	18	16.1245	0.002411		554	1.09489	602	544.525	0.505942		554	1.09489	18	16.1245	0.142347
			4	411		418	1.70316	28	17.1464	0.002716		418	1.70316	446	400.764	0.373156		418	1.70316	28	17.1464	0.101343
			5	329		341	3.64742	61	37.7227	0.00477		341	3.64742	402	325.693	0.302891		341	3.64742	61	37.7227	0.052727
			6	275		279	1.45455	30	17.0294	0.001896		279	1.45455	339	272.244	0.306542		279	1.45455	30	17.0294	0.074809
			7	236		241	2.11864	43	21.3307	0.022587		241	2.11864	284	224.927	0.221215		241	2.11864	43	21.3307	0.063109
			8	207		216	4.34783	84	44.8107	0.004935		216	4.34783	300	202.633	0.218108		216	4.34783	84	44.8107	0.05692
			9	184		194	5.43478	102	62.8013	0.004145		194	5.43478	338	180.211	0.178548		194	5.43478	102	62.8013	0.044326
			10	165		176	6.66667	116	51.3225	0.004458		176	6.66667	292	166.907	0.162489		176	6.66667	116	51.3225	0.013836
			11	151		163	7.94702	149	95.1262	0.045361		163	7.94702	312	159.744	0.127055		163	7.94702	149	95.1262	0.010635
			12	138		148	7.24638	132	65.1767	0.004304		148	7.24638	280	142.702	0.183359		148	7.24638	132	65.1767	0.032724
