-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			30	56		64	14.2857	421	83.3966	0.012443		64	14.2857	485	94.8314	0.021814		60	7.14286	361	73.885	0.00189

ARC83.IN2   	83	3	25236		25332	0.380409	289	229.915	0.067611		25332	0.380409	25621	21882.6	15.5058		25332	0.380409	289	229.915	7.24817
			4	18927		19319	2.07112	1569	1119.06	0.223827		19319	2.07112	20888	16065.5	11.8514		19319	2.07112	1569	1119.06	3.13459
			5	15142		15551	2.7011	2048	1170.72	0.306786		15551	2.7011	17599	12274.4	11.1475		15551	2.7011	2048	1170.72	2.89422
			6	12620		13137	4.09667	3115	1674.41	0.447206		13137	4.09667	16252	10214.2	10.0386		13137	4.09667	3115	1674.41	2.41107
			7	10826		11106	2.58637	2035	944.219	0.252689		11106	2.58637	13141	7858.84	9.18737		11106	2.58637	2035	944.219	2.07686
			8	9554		10091	5.62068	5021	2472.42	0.592113		10091	5.62068	15112	7515.41	8.04207		10091	5.62068	5021	2472.42	1.75579
			9	8499		8765	3.12978	3178	1351.57	0.302014		8765	3.12978	11943	6328.78	6.7747		8765	3.12978	3178	1351.57	1.4809
			10	7580		7837	3.3905	2663	1024.67	0.234241		7837	3.3905	10500	5133.03	6.05914		7837	3.3905	2663	1024.67	1.45238
			11	7084		7362	3.92434	5275	2364.33	0.389758		7362	3.92434	12637	5369.72	5.48488		7362	3.92434	5275	2364.33	1.10268
			12	6412		7091	10.5895	9385	3515.77	0.69426		7091	10.5895	16476	6127.33	4.88027		7091	10.5895	9385	3515.77	0.37483
			13	5864		6358	8.42428	6947	2495.03	0.490538		6358	8.42428	13305	4737.64	4.59979		6358	8.42428	6947	2495.03	0.840554
			14	5441		5780	6.23047	5213	1813.11	0.351228		5780	6.23047	10993	4070.96	4.48705		5780	6.23047	5213	1813.11	0.940012
			15	5104		5337	4.56505	4348	1470.19	0.285631		5337	4.56505	9685	3167.04	4.30073		5337	4.56505	4348	1470.19	1.1593
			16	4850		5320	9.69072	9413	3234.78	0.529805		5320	9.69072	14733	4308.74	3.83561		5320	9.69072	9413	3234.78	0.020403
			17	4516		4991	10.5182	9140	2736.53	0.543583		4991	10.5182	14131	4775.15	3.50997		4991	10.5182	9140	2736.53	0.585563
			18	4317		4674	8.26963	8425	2695.35	0.479154		4674	8.26963	13099	4392.72	3.48573		4674	8.26963	8425	2695.35	0.587315
			19	4068		4409	8.3825	8064	2266.28	0.429053		4409	8.3825	12473	4158.95	3.60891		4409	8.3825	8064	2266.28	0.561693
			20	3882		4227	8.88717	8833	2513.6	0.385499		4227	8.88717	13060	4066.32	3.19115		4227	8.88717	8833	2513.6	0.290667
			21	3691		4153	12.5169	11506	3836.29	0.489768		4153	12.5169	15659	4843.19	2.925		4153	12.5169	11506	3836.29	0.088825
			22	3691		3921	6.23137	10555	3138.09	0.233		3990	8.10079	16063	4431.45	2.95451		3990	8.10079	12073	3601.99	0.558535

LUTZ2.IN2   	89	9	54		56	3.7037	19	9	0.001449		56	3.7037	75	48.4252	0.058907		56	3.7037	19	9	0.004898
			10	49		52	6.12245	35	19.5192	0.001861		52	6.12245	87	45.7275	0.053451		52	6.12245	35	19.5192	0.003511
			11	45		47	4.44444	32	13.2665	0.001643		47	4.44444	79	40.7799	0.032354		47	4.44444	32	13.2665	0.01797
			12	41		42	2.43902	19	7.54983	0.018009		42	2.43902	70	36.3593	0.020762		42	2.43902	19	7.54983	0.003468
			13	38		39	2.63158	22	8.48528	0.001024		39	2.63158	85	37.1618	0.070851		39	2.63158	22	8.48528	0.021531
